high,low,last,interest_rate,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,volume,mark_iv,underlying_price,underlying_index,base_currency,quote_currency,estimated_delivery_price,volume_usd,mid_price,strike,expiration_timestamp,option_type,spread,spread_ratio,moneyness,intrinsic_value,mid_price_usd,arbitrage_opportunity
0.1375,0.125,0.1375,0.0,BTC-25DEC26-60000-C,0.131,0.133,262.9,0.13196586,1782497953809,7.4219,0.5,44.5,59924.95,BTC-25DEC26,BTC,BTC,59924.95,3886.35,0.132,60000.0,1798185600000,call,0.0020000000000000018,0.015151515151515164,1.001252399876846,0.0,7910.0934,False
0.0587,0.0511,0.0511,0.0,BTC-29JUN26-63000-P,0.047,0.0555,62.5,0.05166751,1782497953809,-12.9472,62.5,35.21,59924.95,index_price,BTC,BTC,59924.95,202475.53,0.051250000000000004,63000.0,1782720000000,put,0.0085,0.16585365853658537,1.0513150198706882,3075.050000000003,3071.1536875,True
0.011,0.01,0.011,0.0,BTC-28AUG26-73000-C,0.009,0.01,303.6,0.00993233,1782497953809,10.0,10.5,38.86,59924.95,BTC-28AUG26,BTC,BTC,59924.95,6917.3,0.0095,73000.0,1787904000000,call,0.0010000000000000009,0.10526315789473693,1.2181904198501627,0.0,569.287025,False
0.0215,0.0145,0.0215,0.0,BTC-17JUL26-63000-C,0.0185,0.02,663.8,0.01921644,1782497953809,38.7097,662.7,40.51,59924.95,BTC-17JUL26,BTC,BTC,59924.95,751647.01,0.01925,63000.0,1784275200000,call,0.0015000000000000013,0.07792207792207799,1.0513150198706882,0.0,1153.5552874999998,False
0.115,0.1085,0.1125,0.0,BTC-26MAR27-55000-P,0.1025,0.1045,1338.9,0.10349472,1782497953809,-2.1739,0.3,46.73,59924.95,BTC-26MAR27,BTC,BTC,59924.95,1978.66,0.1035,55000.0,1806048000000,put,0.0020000000000000018,0.019323671497584557,0.9178146998871088,0.0,6202.232324999999,False
0.0385,0.023,0.033,0.0,BTC-17JUL26-61000-C,0.032,0.033,109.4,0.03274181,1782497953809,6.4516,4.4,42.52,59924.95,BTC-17JUL26,BTC,BTC,59924.95,8577.07,0.0325,61000.0,1784275200000,call,0.0010000000000000009,0.030769230769230795,1.0179399398747935,0.0,1947.560875,False
0.107,0.107,0.107,0.0,BTC-25SEP26-58000-C,0.106,0.1085,41.7,0.10696138,1782497953809,0.0,1.0,44.07,59924.95,BTC-25SEP26,BTC,BTC,59924.95,6397.94,0.10725,58000.0,1790323200000,call,0.0025000000000000022,0.023310023310023333,0.9678773198809512,1924.949999999997,6426.950887499999,False
0.06,0.044,0.0494,0.0,BTC-3JUL26-57000-C,0.0575,0.062,4.7,0.05908578,1782497953809,12.2727,4.2,53.28,59924.95,BTC-3JUL26,BTC,BTC,59924.95,12775.39,0.05975,57000.0,1783065600000,call,0.004499999999999997,0.07531380753138071,0.9511897798830037,2924.949999999997,3580.5157624999997,False
0.072,0.0575,0.0575,0.0,BTC-28AUG26-59000-P,0.0605,0.062,327.9,0.06126877,1782497953809,-10.8527,82.5,43.29,59924.95,BTC-28AUG26,BTC,BTC,59924.95,318997.27,0.06125,59000.0,1787904000000,put,0.0015000000000000013,0.02448979591836737,0.9845648598788985,0.0,3670.4031874999996,False
,,,0.0,BTC-28AUG26-48000-C,0.2175,0.2205,0.0,0.21853559,1782497953809,,0.0,53.83,59924.95,BTC-28AUG26,BTC,BTC,59924.95,0.0,0.219,48000.0,1787904000000,call,0.0030000000000000027,0.013698630136986313,0.8010019199014768,11924.949999999997,13123.564049999999,False
0.1485,0.129,0.129,0.0,BTC-3JUL26-68000-P,0.131,0.137,20.4,0.13466407,1782497953809,-13.1313,1.6,44.86,59924.95,BTC-3JUL26,BTC,BTC,59924.95,13467.21,0.134,68000.0,1783065600000,put,0.006000000000000005,0.044776119402985114,1.1347527198604255,8075.050000000003,8029.9433,True
0.0085,0.0055,0.0055,0.0,BTC-25SEP26-35000-P,0.0055,0.0065,718.9,0.00599982,1782497953809,-21.4286,155.0,68.53,59924.95,BTC-25SEP26,BTC,BTC,59924.95,73327.9,0.006,35000.0,1790323200000,put,0.001,0.16666666666666666,0.5840638999281602,0.0,359.5497,False
,,,0.0,BTC-10JUL26-48000-C,0.2005,0.2035,0.0,0.20228215,1782497953809,,0.0,70.79,59924.95,BTC-10JUL26,BTC,BTC,59924.95,0.0,0.202,48000.0,1783670400000,call,0.002999999999999975,0.014851485148514726,0.8010019199014768,11924.949999999997,12104.8399,False
